,Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm)
61,6/1/18,62890,147780,269167,3049,250
62,6/2/18,60287,158528,269371,5634,307
63,6/3/18,50041,134416,269544,3892,154
64,6/4/18,58910,130774,269763,2372,166
65,6/5/18,71906,155007,269934,2682,199
66,6/6/18,69797,154726,270119,2479,173
67,6/7/18,70478,160532,270274,2808,198
68,6/8/18,72696,163188,270455,3915,283
69,6/9/18,65239,171623,270657,6917,292
70,6/10/18,41639,106867,270825,3136,112
71,6/11/18,68060,154381,271146,3044,243
72,6/12/18,76255,166828,271364,3260,215
73,6/13/18,64270,144934,271541,2044,104
74,6/14/18,75803,173109,271708,3359,227
75,6/15/18,72417,160081,271883,4005,296
76,6/16/18,63182,165240,272071,7037,339
77,6/17/18,56218,146611,272306,5760,232
78,6/18/18,63551,136481,272522,2498,206
79,6/19/18,72168,153883,272780,2902,230
80,6/20/18,74088,165836,272950,2929,231
81,6/21/18,70050,158375,273114,3026,262
82,6/22/18,71084,156062,273291,3736,263
83,6/23/18,51028,118620,273422,4172,207
84,6/24/18,55775,152057,273615,5862,232
85,6/25/18,71747,163026,273820,3441,221
86,6/26/18,80643,171973,274006,3442,254
87,6/27/18,67647,140557,274165,2457,183
88,6/28/18,50431,104860,274290,1967,154
89,6/29/18,69856,151785,274467,3940,326
90,6/30/18,54713,134347,274628,5425,360
91,10/1/18,71387,120257,290631,2618,307
92,10/2/18,73113,122234,290788,2666,195
93,10/3/18,76769,129720,290947,3141,199
94,10/4/18,70698,116337,291073,2838,222
95,10/5/18,74744,129597,291166,3979,254
96,10/6/18,57599,110421,291298,5658,310
97,10/7/18,60753,127033,291425,6936,277
98,10/8/18,58256,95097,291549,2865,121
99,10/9/18,74251,123973,291672,2846,207
100,10/10/18,77317,132255,291765,3115,202
101,10/11/18,46862,70173,291862,1323,59
102,10/12/18,67686,113055,291962,3453,255
103,10/13/18,54747,100652,292029,2430,125
104,10/14/18,54297,103697,292158,4805,204
105,10/15/18,59181,92219,292262,1958,95
106,10/16/18,66661,104171,292370,2200,158
107,10/17/18,67868,107762,292469,2341,134
108,10/18/18,61668,94356,292519,1969,143
109,10/19/18,64735,105730,292604,3012,192
110,10/20/18,56281,109142,292711,5644,309
111,10/21/18,39192,64764,292811,2488,100
112,10/22/18,57919,88293,292899,1721,133
113,10/23/18,68086,110293,292992,2356,181
114,10/24/18,64203,98615,293077,1942,97
115,10/25/18,61637,95827,293309,2003,146
116,10/26/18,59861,92569,293508,2292,131
117,10/27/18,13124,17949,293542,333,11
118,10/28/18,42502,74540,293611,3134,154
119,10/29/18,60028,92882,293722,1853,156
120,10/30/18,65545,102834,293819,1957,141
121,10/31/18,68447,114039,294007,2544,225
122,11/1/18,74260,128502,294111,3288,245
123,11/2/18,63746,105906,294186,2817,237
124,11/3/18,49127,89639,294256,4200,199
125,11/4/18,50713,98021,294329,5107,99
126,11/5/18,33345,47328,294396,776,31
127,11/6/18,40271,56313,294442,1186,29
128,11/7/18,67925,112354,294527,2590,189
129,11/8/18,64441,103621,294595,2191,146
130,11/9/18,36952,54282,294647,1064,63
131,11/10/18,37809,63740,294689,2649,132
132,11/11/18,36612,64197,294744,2763,78
133,11/12/18,51341,79338,294792,1707,79
134,11/13/18,36957,52453,294838,751,27
135,11/14/18,49621,70932,294882,935,30
136,11/15/18,24948,35594,294900,407,24
137,11/16/18,34447,49576,294915,761,48
138,11/17/18,37974,61206,294951,2257,56
139,11/18/18,34390,55093,294988,1916,45
140,11/19/18,54540,83935,295037,1522,84
141,11/20/18,51910,75746,295070,1259,37
142,11/21/18,40417,58441,295112,1050,39
143,11/22/18,8798,12626,295200,369,20
144,11/23/18,16107,23143,295439,597,26
145,11/24/18,20087,32011,295530,1137,41
146,11/25/18,34519,60831,295688,2521,36
147,11/26/18,29189,42333,296251,499,18
148,11/27/18,49979,74556,296351,802,31
149,11/28/18,48433,69352,296405,777,29
150,11/29/18,51468,76715,296452,1054,51
151,11/30/18,46001,67098,296497,1065,47
152,12/1/18,37989,62304,296553,2256,37
153,12/2/18,18418,26501,296584,554,11
154,12/3/18,53974,85524,296664,1308,62
155,12/4/18,49058,71843,296708,867,27
156,12/5/18,46779,67536,296753,814,38
157,12/6/18,46543,66885,296798,910,40
158,12/7/18,43841,63353,296843,948,52
159,12/8/18,29909,44552,296867,1271,46
160,12/9/18,27547,40886,296897,1064,23
161,12/10/18,43358,62699,296938,762,25
162,12/11/18,47335,68321,296974,823,20
163,12/12/18,47717,68600,297005,748,28
164,12/13/18,40736,57295,297042,593,14
